Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total.1
31-JAN-2023|AMAG|EQUITY|5001552516.0|368|15463400|116500|210019533|388000000|71444396|0|23887500|0|0|708931329|0|5656400|0|4938400|7950600|2066800|68765900|0|13700000|103078100
31-JAN-2023|AMAN|EQUITY|3873500000.0|705|0|0|0|0|584975300|0|0|0|0|584975300|0|0|0|24500|0|0|200|0|0|24700
31-JAN-2023|AMAR|EQUITY|18381094760.0|230|0|20153772|0|0|654062895|0|250422|0|0|674467089|0|15426807801|2222297|1670151199|4156703|5991118|412666278|0|821275|17522816671
31-JAN-2023|AMFG|EQUITY|434000000.0|5525|23500|13716382|0|0|35781100|181600|35076|0|0|49737658|114800|21825900|162700|1149500|23000|1152800|10307259|76900|235483|35048342
31-JAN-2023|AMIN|EQUITY|1080000000.0|164|0|9389500|0|0|71896000|0|0|0|0|81285500|0|17438300|0|177200|139170500|0|192800|0|1735700|158714500
31-JAN-2023|AMMS|EQUITY|1200000000.0|41|0|14953700|0|0|223897600|0|0|0|0|238851300|0|0|0|0|1148700|0|0|0|0|1148700
31-JAN-2023|AMOR|EQUITY|2222222400.0|1395|36123300|350602400|0|0|424581300|0|7205900|0|0|818512900|10730454|149400|198200|50866600|1015800|3922000|1847900|0|859146|69589500
31-JAN-2023|AMRT|EQUITY|41524501700.0|2830|564838700|23606907434|33499800|0|2515963134|387407132|2137|1411200|573800|27110603337|192492704|2803837698|941480563|1668458465|460200|3297616857|1684891721|23024600|3801635555|14413898363
31-JAN-2023|ANDI|EQUITY|9350000000.0|50|25543605|797718380|1017800|0|1537938897|1499648561|266804208|2702600|567409200|4698783251|0|0|0|5000|1159949|0|21800|0|0|1186749
31-JAN-2023|ANJT|EQUITY|3354175000.0|700|74600100|75701152|0|45000|188920211|100|200000|0|47400|339513963|323100|611300|1388400|3769800|1070037|2118900|4079700|0|1299800|14661037
31-JAN-2023|ANTM|EQUITY|24030764725.0|2310|1059718899|170701784|111331078|3500012|2781151358|799480733|102161862|18253150|963656|5047262532|39356101|154428530|744782450|350171827|12479349|1167218432|194446808|2827300|657548576|3323259373
31-JAN-2023|APEX|EQUITY|2796804997.0|191|0|1806424179|0|0|103634001|0|4534|0|0|1910062714|0|573737577|0|235101947|111300|0|77787|0|0|809028611
31-JAN-2023|APIC|EQUITY|11766313488.0|1125|647729200|9313816312|4200000|0|171811868|393691175|609959097|10150000|3746200|11155103852|8042200|22923135|27116091|419800191|30250|65899700|12834700|0|54563369|611209636
31-JAN-2023|APII|EQUITY|1075760000.0|196|0|101000|0|0|57375300|0|0|0|0|57476300|0|295400|0|819000|36759800|0|36165500|0|143096000|217135700
31-JAN-2023|APLI|EQUITY|1362671400.0|258|0|201399300|0|0|560246700|0|165000|0|0|761811000|0|0|0|0|170400|0|589000|0|0|759400
31-JAN-2023|APLN|EQUITY|22699326779.0|149|5283600|9338234598|2000000|0|3091392716|11097000|80238098|700000|390000|12529336012|672861|11703106|47102550|295365796|7760600|14450400|1651761|10625108|86878585|476210767
31-JAN-2023|APOL|EQUITY|16452282461.0|50|0|649059480|1400000|0|768224959|0|90507820|14086735|575800|1523854794|0|2653784186|0|1180647657|16069992|0|1410334020|0|85088011|5345923866
31-JAN-2023|ARCI|EQUITY|24835000000.0|334|56320800|21055724917|308200|0|592483083|1000000|115689958|1700|0|21821528658|0|2515300|0|258611650|6184400|648510|2601437742|0|144073740|3013471342
